D#COD_IBGE,cS#UF,cS#REGIAO,C#IDHM_RENDA_2000,C#PERCAPITA,D#POPULAÇÃO,cS#PERIODICIDADE DAS SESSÕES,D#PROJETOS DE LEI APRESENTADOS
2200950,GO,CENTRO-OESTE, 0.00,15832,2748,SEMANAL,12
2901550,MT,CENTRO-OESTE, 0.00,100441.91,1613,SEMANAL,0
5003856,MT,CENTRO-OESTE, 0.00,10088.43,1996,QUINZENAL,
2911550,RS,SUL, 0.00,10222.17,2102,SEMANAL,
5104535,RS,SUL, 0.00,10333.72,2856,SEMANAL,3
5104545,RS,SUL, 0.00,10895.99,1939,QUINZENAL,0
2406155,RS,SUL, 0.00,11023.8,2502,SEMANAL,3
2504023,RS,SUL, 0.00,11268.32,2790,SEMANAL,0
5106174,MT,CENTRO-OESTE, 0.00,11664.92,,,
4304614,RS,SUL, 0.00,11695.84,2529,SEMANAL,1
4308433,RS,SUL, 0.00,12827.85,2453,SEMANAL,1
4312179,RS,SUL, 0.00,12856.16,2428,SEMANAL,5
5107768,GO,CENTRO-OESTE, 0.00,13671.7,951,SEMANAL,5
4306130,RS,SUL, 0.00,13948.04,2404,QUINZENAL,1
4315958,RS,SUL, 0.00,14270.07,1851,QUINZENAL,9
5107578,RN,NORDESTE, 0.00,1531.65,3175,SEMANAL,0
4311239,RS,SUL, 0.00,15495.91,2287,QUINZENAL,5
4310876,RS,SUL, 0.00,15525.38,2708,SEMANAL,3
4302584,RS,SUL, 0.00,16678.51,1563,SEMANAL,
5212253,RS,SUL, 0.00,16882.88,1767,SEMANAL,5
4321469,MT,CENTRO-OESTE, 0.00,18629.17,1348,QUINZENAL,5
4318614,PB,NORDESTE, 0.00,1942.94,,QUINZENAL,4
4314134,RS,SUL, 0.00,20483.4,2327,SEMANAL,10
4314175,RS,SUL, 0.00,20541.37,2357,SEMANAL,6
5208152,RS,SUL, 0.00,20883.85,2625,SEMANAL,10
4305835,RS,SUL, 0.00,21512.77,1895,,2
4316733,AL,NORDESTE, 0.00,2173.62,12916,SEMANAL,
5107743,RS,SUL, 0.00,21759.76,1962,QUINZENAL,7
2703759,RS,SUL, 0.00,22769.8,2044,SEMANAL,8
2207793,RS,SUL, 0.00,26155.25,2236,SEMANAL,6
4302238,RS,SUL, 0.00,26957.69,4149,,
4300471,PI,NORDESTE, 0.00,2829.62,3151,QUINZENAL,0
4304655,RS,SUL, 0.00,30689.87,2513,SEMANAL,0
4315313,RS,SUL, 0.00,32908.34,2810,QUINZENAL,3
4304622,BA,NORDESTE, 0.00,3346.23,38025,SEMANAL,2
4305934,MT,CENTRO-OESTE, 0.00,3681.52,4831,,2
4316972,RJ,SUDESTE, 0.00,3988.18,179517,SEMANAL,144
4300034,MT,CENTRO-OESTE, 0.00,4728.79,3129,QUINZENAL,8
2919450,RS,SUL, 0.00,483.7,2346,QUINZENAL,5
5103437,GO,CENTRO-OESTE, 0.00,4885.64,5098,SEMANAL,1
3302858,BA,NORDESTE, 0.00,51598.14,22081,SEMANAL,3
4302220,MT,CENTRO-OESTE, 0.00,5171.99,12971,QUINZENAL,
4323770,ES,SUDESTE, 0.00,5191.73,9826,SEMANAL,
5106315,MT,CENTRO-OESTE, 0.00,5811.58,3212,,
5204854,GO,CENTRO-OESTE, 0.00,6242.23,2776,,1
4314464,RS,SUL, 0.00,6463.91,2973,SEMANAL,0
5103254,BA,NORDESTE, 0.00,7099.36,2001,SEMANAL,2
3202256,RS,SUL, 0.00,7135.13,2708,SEMANAL,3
5108352,MT,CENTRO-OESTE, 0.00,7606.47,1244,QUINZENAL,1
2919553,MT,CENTRO-OESTE, 0.00,7978.96,3535,QUINZENAL,4
5210158,MT,CENTRO-OESTE, 0.00,81031.44,,,
4310652,MT,CENTRO-OESTE, 0.00,8238.64,2836,QUINZENAL,0
2903276,MT,CENTRO-OESTE, 0.00,8596.85,4403,QUINZENAL,
4301073,RS,SUL, 0.00,9023.04,1794,QUINZENAL,1
5107883,RS,SUL, 0.00,9046.37,1777,QUINZENAL,3
5106190,MT,CENTRO-OESTE, 0.00,,,MENSAL,160
5103361,PI,NORDESTE, 0.00,,2591,QUINZENAL,0
5101852,BA,NORDESTE, 0.00,,,SEMANAL,0
5107792,MS,CENTRO-OESTE, 0.00,,2927,SEMANAL,2
4313466,MT,CENTRO-OESTE, 0.00,,,SEMANAL,10
4319364,BA,NORDESTE, 0.00,,10227,,
2103158,MA,NORDESTE, 0.33,1965.59,6152,SEMANAL,5
2609154,PE,NORDESTE, 0.34,2080.12,13028,QUINZENAL,0
2101731,MA,NORDESTE, 0.35,2138.94,5253,SEMANAL,0
1200328,AC,NORTE, 0.36,2752.54,4454,SEMANAL,6
2201739,PI,NORDESTE, 0.37,1525.93,8640,QUINZENAL,0
2707206,AM,NORTE, 0.38,2487,13220,SEMANAL,2
2102374,MA,NORDESTE, 0.38,1055.91,7383,SEMANAL,
2110237,MA,NORDESTE, 0.38,1273.82,10944,SEMANAL,7
2108058,MA,NORDESTE, 0.38,1293.86,11526,SEMANAL,3
2206357,PI,NORDESTE, 0.38,1516.62,6900,QUINZENAL,0
1301654,MA,NORDESTE, 0.38,944.65,10693,SEMANAL,8
2109205,AL,NORDESTE, 0.38,,13222,SEMANAL,0
2708956,AL,NORDESTE, 0.39,1103.83,11979,SEMANAL,0
2111672,MA,NORDESTE, 0.39,1504.84,4400,SEMANAL,1
2102705,MA,NORDESTE, 0.39,1533.99,17713,SEMANAL,3
2200053,PI,NORDESTE, 0.39,1587.89,5147,QUINZENAL,11
2904753,BA,NORDESTE, 0.39,1682.27,17797,MENSAL,1
1301803,AM,NORTE, 0.39,2306.73,14759,BIMESTRAL,4
2603926,PE,NORDESTE, 0.39,2705.16,10404,SEMANAL,
2105005,MA,NORDESTE, 0.40,1027.93,21266,QUINZENAL,25
2701605,AL,NORDESTE, 0.40,1188.74,17334,SEMANAL,64
2204550,PI,NORDESTE, 0.40,1282.88,4814,QUINZENAL,
2708402,AL,NORDESTE, 0.40,1308.9,27562,,0
2503555,PB,NORDESTE, 0.40,1708.63,6979,SEMANAL,0
2106631,MA,NORDESTE, 0.40,1722.71,7435,SEMANAL,0
2709202,AL,NORDESTE, 0.40,1736.21,23439,QUINZENAL,0
2210391,PI,NORDESTE, 0.40,1819.36,2991,QUINZENAL,6
2206951,PI,NORDESTE, 0.40,1932.78,3155,SEMANAL,3
2414753,RN,NORDESTE, 0.40,2292.98,3422,SEMANAL,0
