Região;País;Item;Canal;Prioridade Pedido;Data Pedido;ID Pedido;Data Envio;Unidades Vendidas;Preço Unit;Custo Unit;Receita Total;Custo Total;Lucro Total
Oriente Médio e Norte da África;Libya;Cosméticos;Offline;M;18/10/14;686800706;31/10/14;8446;437,2;263,33;3692591,2;2224085,18;1468506,02
América do Norte;Canada;Vegetais;Online;M;07/11/11;185941302;08/12/11;3018;154,06;90,93;464953,08;274426,74;190526,34
Oriente Médio e Norte da África;Libya;Comida para bebê;Offline;C;31/10/16;246222341;09/12/16;1517;255,28;159,42;387259,76;241840,14;145419,62
Ásia;Japan;Cereais;Offline;C;10/04/10;161442649;12/05/10;3322;205,7;117,11;683335,4;389039,42;294295,98
África Subsaariana;Chad;Frutas;Offline;H;16/08/11;645713555;31/08/11;9845;9,33;6,92;91853,85;68127,4;23726,45
Europa;Armenia;Cereais;Online;H;24/11/14;683458888;28/12/14;9528;205,7;117,11;1959909,6;1115824,08;844085,52
África Subsaariana;Eritrea;Cereais;Online;H;04/03/15;679414975;17/04/15;2844;205,7;117,11;585010,8;333060,84;251949,96
Europa;Montenegro;Roupas;Offline;M;17/05/12;208630645;28/06/12;7299;109,28;35,84;797634,72;261596,16;536038,56
América Central e o Caribe;Jamaica;Vegetais;Online;H;29/01/15;266467225;07/03/15;2428;154,06;90,93;374057,68;220778,04;153279,64
Austrália e Oceania;Fiji;Vegetais;Offline;H;24/12/13;118598544;19/01/14;4800;154,06;90,93;739488;436464;303024
África Subsaariana;Togo;Roupas;Online;M;29/12/15;451010930;19/01/16;3012;109,28;35,84;329151,36;107950,08;221201,28
Europa;Montenegro;Snacks;Offline;M;27/02/10;220003211;18/03/10;2694;152,58;97,44;411050,52;262503,36;148547,16
Europa;Greece;Eletrodomésticos;Online;C;17/11/16;702186715;22/12/16;1508;668,27;502,54;1007751,16;757830,32;249920,84
África Subsaariana;Sudan;Cosméticos;Online;C;20/12/15;544485270;05/01/16;4146;437,2;263,33;1812631,2;1091766,18;720865,02
Ásia;Maldives;Frutas;Offline;L;08/01/11;714135205;06/02/11;7332;9,33;6,92;68407,56;50737,44;17670,12
Europa;Montenegro;Roupas;Offline;H;28/06/10;448685348;22/07/10;4820;109,28;35,84;526729,6;172748,8;353980,8
Europa;Estonia;Artigos Escritório;Online;H;25/04/16;405997025;12/05/16;2397;651,21;524,96;1560950,37;1258329,12;302621,25
América do Norte;Greenland;Bebidas;Online;M;27/07/12;414244067;07/08/12;2880;47,45;31,79;136656;91555,2;45100,8
África Subsaariana;Cape Verde;Roupas;Online;C;08/09/14;821912801;03/10/14;1117;109,28;35,84;122065,76;40033,28;82032,48
África Subsaariana;Senegal;Eletrodomésticos;Offline;L;27/08/12;247802054;08/09/12;8989;668,27;502,54;6007079,03;4517332,06;1489746,97
Austrália e Oceania;Federated States of Micronesia;Snacks;Online;C;03/09/12;531023156;15/10/12;407;152,58;97,44;62100,06;39658,08;22441,98
Europa;Bulgaria;Roupas;Online;L;27/08/10;880999934;16/09/10;6313;109,28;35,84;689884,64;226257,92;463626,72
Oriente Médio e Norte da África;Algeria;Cuidados Pessoais;Online;H;20/02/11;127468717;09/03/11;9681;81,73;56,67;791228,13;548622,27;242605,86
Ásia;Mongolia;Roupas;Online;L;12/12/15;770478332;24/01/16;515;109,28;35,84;56279,2;18457,6;37821,6
América Central e o Caribe;Grenada;Cereais;Online;H;28/10/12;430390107;13/11/12;852;205,7;117,11;175256,4;99777,72;75478,68
América Central e o Caribe;Grenada;Bebidas;Online;M;30/01/17;397877871;20/03/17;9759;47,45;31,79;463064,55;310238,61;152825,94
África Subsaariana;Senegal;Bebidas;Offline;M;22/10/14;683927953;04/11/14;8334;47,45;31,79;395448,3;264937,86;130510,44
América do Norte;Greenland;Frutas;Offline;M;31/01/12;469839179;22/02/12;4709;9,33;6,92;43934,97;32586,28;11348,69
África Subsaariana;Chad;Carne;Offline;H;20/01/16;357222878;09/03/16;9043;421,89;364,69;3815151,27;3297891,67;517259,6
África Subsaariana;Mauritius ;Cuidados Pessoais;Online;C;01/01/16;118002879;07/01/16;8529;81,73;56,67;697075,17;483338,43;213736,74
Oriente Médio e Norte da África;Morocco;Bebidas;Offline;C;01/06/17;944415509;23/06/17;2391;47,45;31,79;113452,95;76009,89;37443,06
América Central e o Caribe;Honduras;Artigos Escritório;Online;H;30/06/15;499009597;09/07/15;6884;651,21;524,96;4482929,64;3613824,64;869105
África Subsaariana;Benin;Frutas;Online;L;28/01/14;564646470;16/03/14;293;9,33;6,92;2733,69;2027,56;706,13
Europa;Greece;Comida para bebê;Offline;M;08/04/14;294499957;08/04/14;7937;255,28;159,42;2026157,36;1265316,54;760840,82
América Central e o Caribe;Jamaica;Bebidas;Offline;L;04/09/10;262056386;24/10/10;7163;47,45;31,79;339884,35;227711,77;112172,58
África Subsaariana;Equatorial Guinea;Artigos Escritório;Online;M;02/05/10;211114585;14/05/10;2352;651,21;524,96;1531645,92;1234705,92;296940
África Subsaariana;Swaziland;Artigos Escritório;Offline;H;03/10/13;405785882;22/10/13;9915;651,21;524,96;6456747,15;5204978,4;1251768,75
América Central e o Caribe;Trinidad and Tobago;Vegetais;Offline;M;06/03/11;280494105;14/04/11;3294;154,06;90,93;507473,64;299523,42;207950,22
Europa;Sweden;Comida para bebê;Online;L;07/08/16;689975583;12/08/16;7963;255,28;159,42;2032794,64;1269461,46;763333,18
Europa;Belarus;Artigos Escritório;Online;L;11/01/11;759279143;18/02/11;6426;651,21;524,96;4184675,46;3373392,96;811282,5
África Subsaariana;Guinea-Bissau;Artigos Escritório;Offline;C;21/05/14;133766114;12/06/14;3221;651,21;524,96;2097547,41;1690896,16;406651,25
Ásia;Mongolia;Bebidas;Online;M;03/08/13;329110324;02/09/13;9913;47,45;31,79;470371,85;315134,27;155237,58
Oriente Médio e Norte da África;Turkey;Carne;Online;L;05/10/11;681298100;20/11/11;103;421,89;364,69;43454,67;37563,07;5891,6
África Subsaariana;Central African Republic;Snacks;Offline;L;15/11/16;596628272;30/12/16;4419;152,58;97,44;674251,02;430587,36;243663,66
África Subsaariana;Equatorial Guinea;Artigos Escritório;Offline;L;03/04/15;901712167;17/04/15;5523;651,21;524,96;3596632,83;2899354,08;697278,75
Ásia;Laos;Bebidas;Online;M;22/03/13;693473613;21/04/13;3107;47,45;31,79;147427,15;98771,53;48655,62
Europa;Armenia;Carne;Online;C;02/08/10;489148938;01/09/10;8896;421,89;364,69;3753133,44;3244282,24;508851,2
Europa;Greece;Eletrodomésticos;Online;L;05/01/12;876286971;15/02/12;1643;668,27;502,54;1097967,61;825673,22;272294,39
Oriente Médio e Norte da África;Israel;Cuidados Pessoais;Offline;H;26/08/15;262749040;30/08/15;2135;81,73;56,67;174493,55;120990,45;53503,1
Ásia;Bhutan;Carne;Online;H;09/12/16;726708972;26/01/17;8189;421,89;364,69;3454857,21;2986446,41;468410,8
Austrália e Oceania;Vanuatu;Vegetais;Online;L;17/05/12;366653096;31/05/12;9654;154,06;90,93;1487295,24;877838,22;609457,02
África Subsaariana;Burundi;Vegetais;Online;M;17/11/10;951380240;20/12/10;3410;154,06;90,93;525344,6;310071,3;215273,3
Europa;Ukraine;Cosméticos;Online;M;13/11/14;270001733;01/01/15;8368;437,2;263,33;3658489,6;2203545,44;1454944,16
Europa;Croatia;Bebidas;Online;C;16/06/16;681941401;28/07/16;470;47,45;31,79;22301,5;14941,3;7360,2
África Subsaariana;Madagascar;Frutas;Online;L;31/05/16;566935575;07/06/16;7690;9,33;6,92;71747,7;53214,8;18532,9
Ásia;Malaysia;Snacks;Offline;M;06/10/12;175033080;05/11/12;5033;152,58;97,44;767935,14;490415,52;277519,62
Ásia;Uzbekistan;Artigos Escritório;Offline;L;10/03/12;276595246;15/03/12;9535;651,21;524,96;6209287,35;5005493,6;1203793,75
Europa;Italy;Artigos Escritório;Online;M;26/01/11;812295901;13/02/11;5263;651,21;524,96;3427318,23;2762864,48;664453,75
Ásia;Nepal;Vegetais;Offline;C;02/06/14;443121373;19/06/14;8316;154,06;90,93;1281162,96;756173,88;524989,08
Austrália e Oceania;Fiji;Cuidados Pessoais;Offline;H;17/12/16;600370490;25/01/17;1824;81,73;56,67;149075,52;103366,08;45709,44
Europa;Portugal;Artigos Escritório;Online;L;27/06/14;535654580;29/07/14;949;651,21;524,96;617998,29;498187,04;119811,25
América Central e o Caribe;Panama;Cosméticos;Offline;H;17/03/15;470897471;22/04/15;7881;437,2;263,33;3445573,2;2075303,73;1370269,47
Europa;Belarus;Bebidas;Offline;L;03/04/13;248335492;04/04/13;6846;47,45;31,79;324842,7;217634,34;107208,36
África Subsaariana;Botswana;Roupas;Offline;C;08/03/15;680517470;25/03/15;9097;109,28;35,84;994120,16;326036,48;668083,68
África Subsaariana;Tanzania;Cuidados Pessoais;Online;M;21/06/13;400304734;29/07/13;7921;81,73;56,67;647383,33;448883,07;198500,26
Europa;Romania;Artigos Escritório;Offline;C;06/01/13;810871112;08/01/13;3636;651,21;524,96;2367799,56;1908754,56;459045
África Subsaariana;Mali;Cereais;Online;L;17/03/12;235702931;03/04/12;8590;205,7;117,11;1766963;1005974,9;760988,1
África Subsaariana;Central African Republic;Artigos Escritório;Offline;C;18/04/14;668599021;12/05/14;2163;651,21;524,96;1408567,23;1135488,48;273078,75
África Subsaariana;Niger;Comida para bebê;Online;M;03/01/16;123670709;01/02/16;5766;255,28;159,42;1471944,48;919215,72;552728,76
Europa;Austria;Artigos Escritório;Online;L;12/05/11;285341823;08/06/11;7841;651,21;524,96;5106137,61;4116211,36;989926,25
Ásia;India;Frutas;Online;H;29/07/10;658348691;22/08/10;8862;9,33;6,92;82682,46;61325,04;21357,42
Europa;Luxembourg;Comida para bebê;Offline;L;02/08/13;817740142;19/08/13;6335;255,28;159,42;1617198,8;1009925,7;607273,1
África Subsaariana;Cape Verde;Bebidas;Offline;H;23/10/13;858877503;06/11/13;9794;47,45;31,79;464725,3;311351,26;153374,04
Europa;Sweden;Vegetais;Offline;M;05/02/17;947434604;19/02/17;5808;154,06;90,93;894780,48;528121,44;366659,04
Europa;Iceland;Carne;Offline;H;20/03/15;869397771;17/04/15;2975;421,89;364,69;1255122,75;1084952,75;170170
Oriente Médio e Norte da África;Qatar;Cuidados Pessoais;Offline;L;06/05/12;481065833;08/05/12;6925;81,73;56,67;565980,25;392439,75;173540,5
África Subsaariana;South Sudan;Carne;Online;C;30/09/13;159050118;01/10/13;5319;421,89;364,69;2244032,91;1939786,11;304246,8
Europa;United Kingdom;Artigos Escritório;Online;M;20/05/14;350274455;14/06/14;2850;651,21;524,96;1855948,5;1496136;359812,5
Oriente Médio e Norte da África;Tunisia ;Cereais;Online;L;09/04/10;221975171;17/05/10;6241;205,7;117,11;1283773,7;730883,51;552890,19
América do Norte;United States of America;Artigos Escritório;Online;C;09/06/17;811701095;19/07/17;9247;651,21;524,96;6021738,87;4854305,12;1167433,75
África Subsaariana;Liberia;Cereais;Online;L;08/02/15;977313554;29/03/15;7653;205,7;117,11;1574222,1;896242,83;677979,27
África Subsaariana;Eritrea;Snacks;Offline;L;25/01/10;546986377;10/02/10;4279;152,58;97,44;652889,82;416945,76;235944,06
Ásia;South Korea;Frutas;Offline;L;07/03/10;769205892;17/03/10;3972;9,33;6,92;37058,76;27486,24;9572,52
África Subsaariana;Kenya;Roupas;Offline;M;03/01/13;262770926;08/02/13;8611;109,28;35,84;941010,08;308618,24;632391,84
África Subsaariana;Rwanda;Snacks;Online;M;06/03/17;866792809;18/03/17;2109;152,58;97,44;321791,22;205500,96;116290,26
América Central e o Caribe;Cuba;Bebidas;Offline;C;09/01/11;890695369;23/02/11;5408;47,45;31,79;256609,6;171920,32;84689,28
Oriente Médio e Norte da África;Libya;Cereais;Offline;M;27/03/14;964214932;31/03/14;1480;205,7;117,11;304436;173322,8;131113,2
Europa;Czech Republic;Snacks;Online;C;28/06/13;887400329;17/08/13;332;152,58;97,44;50656,56;32350,08;18306,48
Europa;Montenegro;Bebidas;Offline;M;04/09/11;980612885;04/09/11;3999;47,45;31,79;189752,55;127128,21;62624,34
Europa;Montenegro;Roupas;Offline;M;14/07/16;734526431;02/08/16;1549;109,28;35,84;169274,72;55516,16;113758,56
Ásia;Philippines;Comida para bebê;Online;L;23/02/14;160127294;23/03/14;4079;255,28;159,42;1041287,12;650274,18;391012,94
América Central e o Caribe;El Salvador;Roupas;Offline;L;07/08/10;238714301;13/09/10;9721;109,28;35,84;1062310,88;348400,64;713910,24
Austrália e Oceania;Tonga;Eletrodomésticos;Online;M;14/01/13;671898782;06/02/13;8635;668,27;502,54;5770511,45;4339432,9;1431078,55
África Subsaariana;Democratic Republic of the Congo;Cuidados Pessoais;Offline;H;30/09/10;331604564;17/11/10;8014;81,73;56,67;654984,22;454153,38;200830,84
Oriente Médio e Norte da África;Afghanistan;Cereais;Online;M;13/10/16;410067975;20/11/16;7081;205,7;117,11;1456561,7;829255,91;627305,79
Austrália e Oceania;Tuvalu;Snacks;Offline;L;16/03/11;369837844;23/03/11;2091;152,58;97,44;319044,78;203747,04;115297,74
África Subsaariana;Sudan;Frutas;Online;L;26/12/12;193775498;31/01/13;1331;9,33;6,92;12418,23;9210,52;3207,71
África Subsaariana;Niger;Roupas;Online;M;02/09/15;835054767;09/10/15;117;109,28;35,84;12785,76;4193,28;8592,48
África Subsaariana;Gabon;Eletrodomésticos;Offline;C;11/11/13;167161977;24/12/13;5798;668,27;502,54;3874629,46;2913726,92;960902,54
Austrália e Oceania;East Timor;Vegetais;Offline;C;04/08/14;633895957;22/08/14;2755;154,06;90,93;424435,3;250512,15;173923,15
América do Norte;United States of America;Roupas;Offline;C;21/10/10;699368035;07/12/10;7398;109,28;35,84;808453,44;265144,32;543309,12
Oriente Médio e Norte da África;Jordan;Vegetais;Offline;L;13/06/15;698002040;29/07/15;3170;154,06;90,93;488370,2;288248,1;200122,1
Europa;Cyprus;Snacks;Offline;H;29/03/12;584534299;18/05/12;5544;152,58;97,44;845903,52;540207,36;305696,16
África Subsaariana;Malawi;Vegetais;Online;L;22/06/12;384013640;19/07/12;7025;154,06;90,93;1082271,5;638783,25;443488,25
Europa;Iceland;Cuidados Pessoais;Online;M;10/05/13;641801393;24/05/13;2149;81,73;56,67;175637,77;121783,83;53853,94
Oriente Médio e Norte da África;Israel;Cuidados Pessoais;Online;M;10/12/16;173571383;11/01/17;2484;81,73;56,67;203017,32;140768,28;62249,04
Oriente Médio e Norte da África;United Arab Emirates;Snacks;Offline;H;20/03/11;115309941;06/04/11;1629;152,58;97,44;248552,82;158729,76;89823,06
Ásia;China;Cosméticos;Offline;L;22/09/11;773315894;04/11/11;213;437,2;263,33;93123,6;56089,29;37034,31
África Subsaariana;Kenya;Bebidas;Online;M;11/05/12;274200570;26/06/12;897;47,45;31,79;42562,65;28515,63;14047,02
